Acetivibrio	FALSE
Acetoanaerobium	FALSE
Acetobacter	FALSE
Acetobacterium	FALSE
Acetomicrobium	FALSE
Acholeplasma	FALSE
Achromobacter	FALSE
Acidaminococcus	FALSE
Acidianus	FALSE
Acidicapsa	FALSE
Acidilobus	FALSE
Acidiphilium	FALSE
Acidipila	FALSE
Acidiplasma	FALSE
Acidipropionibacterium	FALSE
Acidisoma	FALSE
Acidithiobacillus	FALSE
Acidobacterium	FALSE
Acidocella	FALSE
Acidovorax	FALSE
Acinetobacter	FALSE
Acrocarpospora	FALSE
Actibacter	FALSE
Actibacterium	FALSE
Actinoallomurus	FALSE
Actinoalloteichus	FALSE
Actinobacillus	FALSE
Actinobaculum	FALSE
Actinocatenispora	FALSE
Actinocorallia	FALSE
Actinokineospora	FALSE
Actinomadura	FALSE
Actinomyces	FALSE
Actinomycetospora	FALSE
Actinophytocola	FALSE
Actinoplanes	FALSE
Actinopolymorpha	FALSE
Actinopolyspora	FALSE
Actinospica	FALSE
Actinosynnema	FALSE
Actinotalea	FALSE
Actinotignum	FALSE
Adhaeribacter	FALSE
Advenella	FALSE
Aequorivita	FALSE
Aerococcus	FALSE
Aeromicrobium	FALSE
Aeromonas	FALSE
Aeropyrum	FALSE
Aestuariibacter	FALSE
Aestuariivita	FALSE
Aetherobacter	FALSE
Afifella	FALSE
Afipia	FALSE
Agarivorans	FALSE
Agathobaculum	FALSE
Aggregatibacter	FALSE
Agreia	FALSE
Agrobacterium	FALSE
Agrococcus	FALSE
Agromyces	FALSE
Ahrensia	FALSE
Akkermansia	FALSE
Albidovulum	FALSE
Albimonas	FALSE
Alcaligenes	FALSE
Alcanivorax	FALSE
Algibacter	FALSE
Algicola	FALSE
Algimonas	FALSE
Algoriphagus	FALSE
Aliagarivorans	FALSE
Alicyclobacillus	FALSE
Aliidiomarina	FALSE
Aliifodinibius	FALSE
Aliiglaciecola	FALSE
Aliiroseovarius	FALSE
Aliivibrio	FALSE
Alishewanella	FALSE
Alistipes	FALSE
Alkalibacillus	FALSE
Alkalibacterium	FALSE
Alkalicoccus	FALSE
Alkalilimnicola	FALSE
Alkalimonas	FALSE
Alkaliphilus	FALSE
Alkalispirochaeta	FALSE
Alkanindiges	FALSE
Alloactinosynnema	FALSE
Allochromatium	FALSE
Allofrancisella	FALSE
Allohahella	FALSE
Allokutzneria	FALSE
Alloprevotella	FALSE
Allorhizobium	FALSE
Alloscardovia	FALSE
Altererythrobacter	FALSE
Alteribacillus	FALSE
Alteromonas	FALSE
Alysiella	FALSE
Amaricoccus	FALSE
Aminobacter	FALSE
Aminobacterium	FALSE
Ammonifex	FALSE
Ammoniphilus	FALSE
Amnibacterium	FALSE
Amorphus	FALSE
Amphibacillus	FALSE
Amphritea	FALSE
Amycolatopsis	FALSE
Amylibacter	FALSE
Anaerobacillus	FALSE
Anaerobiospirillum	FALSE
Anaerobranca	FALSE
Anaerococcus	FALSE
Anaerocolumna	FALSE
Anaerofilum	FALSE
Anaerolinea	FALSE
Anaeroplasma	FALSE
Anaerosalibacter	FALSE
Anaerostipes	FALSE
Ancylobacter	FALSE
Ancylothrix	FALSE
Andreprevotia	FALSE
Aneurinibacillus	FALSE
Angulomicrobium	FALSE
Angustibacter	FALSE
Anoxybacillus	TRUE
Apibacter	FALSE
Aquabacterium	FALSE
Aquamicrobium	FALSE
