<excluded_species>	 <avg_excluded_species>	<avg_rest_of_family>	  <stdev_rest_of_family>	 <#_of_stdev_away>
Cronobacter sakazakii	0.9484	0.9452	0.01001	0.3197
Siccibacter turicensis	0.9395	0.9453	0.009996	0.5802
Biostraticola tofi	0.9113	0.9456	0.009483	3.617
Klebsiella pneumoniae subsp. ozaenae	0.9464	0.9452	0.01001	0.1199
Citrobacter youngae	0.9526	0.9452	0.009987	0.741
Mangrovibacter yixingensis	0.9364	0.9453	0.009976	0.8921
Trabulsiella guamensis	0.9406	0.9453	0.01	0.47
Gibbsiella quercinecans	0.9424	0.9453	0.01001	0.2897
Buttiauxella noackiae	0.9531	0.9452	0.009984	0.7913
Enterobacter hormaechei subsp. oharae	0.9608	0.9451	0.009903	1.585
Cronobacter muytjensii	0.9487	0.9452	0.01001	0.3497
Lelliottia nimipressuralis	0.9532	0.9452	0.009983	0.8014
Cronobacter condimenti	0.9534	0.9452	0.009982	0.8215
Citrobacter freundii	0.9532	0.9452	0.009983	0.8014
Enterobacter tabaci	0.9477	0.9452	0.01001	0.2498
Citrobacter sedlakii	0.9443	0.9453	0.01001	0.0999
Shigella dysenteriae	0.9327	0.9454	0.009941	1.278
Cronobacter zurichensis	0.9241	0.9454	0.00981	2.171
