0.0	0.342	0.383	0.364	0.385	0.363	0.378	0.359	0.353	0.357	0.354	0.365	0.385	0.356	0.351	0.354	0.356	0.367	0.359	0.361	0.356	0.366	0.357	0.353	0.359	0.335	0.357	0.347	0.366	0.357	
0.342	0.0	0.062	0.043	0.074	0.048	0.05	0.053	0.028	0.049	0.054	0.034	0.041	0.03	0.023	0.056	0.028	0.043	0.027	0.027	0.047	0.039	0.052	0.011	0.053	0.055	0.045	0.041	0.047	0.027	
0.383	0.062	0.0	0.061	0.062	0.047	0.033	0.043	0.062	0.057	0.051	0.055	0.058	0.058	0.064	0.018	0.054	0.054	0.056	0.06	0.032	0.052	0.052	0.062	0.046	0.037	0.043	0.051	0.04	0.054	
0.364	0.043	0.061	0.0	0.097	0.063	0.063	0.072	0.052	0.075	0.074	0.017	0.015	0.049	0.042	0.056	0.043	0.06	0.049	0.054	0.064	0.06	0.07	0.043	0.074	0.04	0.065	0.053	0.063	0.043	
0.385	0.074	0.062	0.097	0.0	0.067	0.049	0.067	0.082	0.058	0.073	0.085	0.092	0.073	0.07	0.048	0.069	0.065	0.075	0.074	0.049	0.06	0.056	0.072	0.066	0.064	0.068	0.081	0.058	0.068	
0.363	0.048	0.047	0.063	0.067	0.0	0.032	0.039	0.052	0.029	0.032	0.066	0.059	0.056	0.052	0.042	0.048	0.027	0.057	0.061	0.046	0.039	0.026	0.056	0.041	0.03	0.031	0.03	0.053	0.049	
0.378	0.05	0.033	0.063	0.049	0.032	0.0	0.029	0.055	0.03	0.039	0.05	0.056	0.046	0.055	0.028	0.05	0.036	0.044	0.048	0.006	0.037	0.028	0.054	0.029	0.038	0.039	0.04	0.029	0.047	
0.359	0.053	0.043	0.072	0.067	0.039	0.029	0.0	0.071	0.013	0.021	0.055	0.062	0.05	0.053	0.041	0.054	0.029	0.048	0.052	0.029	0.04	0.007	0.056	0.003	0.045	0.036	0.039	0.036	0.051	
0.353	0.028	0.062	0.052	0.082	0.052	0.055	0.071	0.0	0.051	0.055	0.054	0.051	0.029	0.034	0.059	0.009	0.046	0.024	0.018	0.062	0.043	0.048	0.036	0.07	0.038	0.046	0.042	0.069	0.011	
0.357	0.049	0.057	0.075	0.058	0.029	0.03	0.013	0.051	0.0	0.01	0.065	0.072	0.047	0.056	0.047	0.05	0.031	0.05	0.051	0.031	0.039	0.008	0.056	0.011	0.053	0.028	0.051	0.043	0.05	
0.354	0.054	0.051	0.074	0.073	0.032	0.039	0.021	0.055	0.01	0.0	0.08	0.072	0.068	0.054	0.044	0.056	0.034	0.071	0.07	0.053	0.041	0.011	0.057	0.021	0.035	0.026	0.029	0.06	0.056	
0.365	0.034	0.055	0.017	0.085	0.066	0.05	0.055	0.054	0.065	0.08	0.0	0.01	0.038	0.032	0.06	0.039	0.05	0.032	0.037	0.048	0.049	0.061	0.034	0.057	0.05	0.066	0.061	0.048	0.039	
0.385	0.041	0.058	0.015	0.092	0.059	0.056	0.062	0.051	0.072	0.072	0.01	0.0	0.041	0.038	0.054	0.041	0.058	0.041	0.047	0.054	0.058	0.067	0.041	0.065	0.039	0.062	0.054	0.054	0.041	
0.356	0.03	0.058	0.049	0.073	0.056	0.046	0.05	0.029	0.047	0.068	0.038	0.041	0.0	0.035	0.054	0.005	0.043	0.008	0.011	0.046	0.04	0.049	0.036	0.049	0.05	0.056	0.055	0.045	0.008	
0.351	0.023	0.064	0.042	0.07	0.052	0.055	0.053	0.034	0.056	0.054	0.032	0.038	0.035	0.0	0.058	0.034	0.05	0.033	0.033	0.052	0.045	0.055	0.007	0.056	0.064	0.047	0.043	0.046	0.033	
0.354	0.056	0.018	0.056	0.048	0.042	0.028	0.041	0.059	0.047	0.044	0.06	0.054	0.054	0.058	0.0	0.05	0.044	0.054	0.06	0.036	0.043	0.042	0.057	0.044	0.036	0.032	0.049	0.037	0.047	
0.356	0.028	0.054	0.043	0.069	0.048	0.05	0.054	0.009	0.05	0.056	0.039	0.041	0.005	0.034	0.05	0.0	0.044	0.008	0.009	0.046	0.044	0.052	0.035	0.053	0.05	0.043	0.058	0.054	0.005	
0.367	0.043	0.054	0.06	0.065	0.027	0.036	0.029	0.046	0.031	0.034	0.05	0.058	0.043	0.05	0.044	0.044	0.0	0.04	0.044	0.038	0.033	0.027	0.051	0.032	0.044	0.026	0.032	0.043	0.041	
0.359	0.027	0.056	0.049	0.075	0.057	0.044	0.048	0.024	0.05	0.071	0.032	0.041	0.008	0.033	0.054	0.008	0.04	0.0	0.006	0.041	0.04	0.047	0.034	0.049	0.05	0.054	0.052	0.043	0.005	
0.361	0.027	0.06	0.054	0.074	0.061	0.048	0.052	0.018	0.051	0.07	0.037	0.047	0.011	0.033	0.06	0.009	0.044	0.006	0.0	0.045	0.041	0.048	0.034	0.05	0.054	0.058	0.056	0.05	0.008	
0.356	0.047	0.032	0.064	0.049	0.046	0.006	0.029	0.062	0.031	0.053	0.048	0.054	0.046	0.052	0.036	0.046	0.038	0.041	0.045	0.0	0.039	0.029	0.051	0.029	0.05	0.05	0.055	0.031	0.046	
0.366	0.039	0.052	0.06	0.06	0.039	0.037	0.04	0.043	0.039	0.041	0.049	0.058	0.04	0.045	0.043	0.044	0.033	0.04	0.041	0.039	0.0	0.04	0.049	0.04	0.05	0.035	0.05	0.039	0.044	
0.357	0.052	0.052	0.07	0.056	0.026	0.028	0.007	0.048	0.008	0.011	0.061	0.067	0.049	0.055	0.042	0.052	0.027	0.047	0.048	0.029	0.04	0.0	0.058	0.01	0.047	0.025	0.045	0.039	0.049	
0.353	0.011	0.062	0.043	0.072	0.056	0.054	0.056	0.036	0.056	0.057	0.034	0.041	0.036	0.007	0.057	0.035	0.051	0.034	0.034	0.051	0.049	0.058	0.0	0.057	0.06	0.051	0.068	0.045	0.034	
0.359	0.053	0.046	0.074	0.066	0.041	0.029	0.003	0.07	0.011	0.021	0.057	0.065	0.049	0.056	0.044	0.053	0.032	0.049	0.05	0.029	0.04	0.01	0.057	0.0	0.048	0.038	0.041	0.038	0.053	
0.335	0.055	0.037	0.04	0.064	0.03	0.038	0.045	0.038	0.053	0.035	0.05	0.039	0.05	0.064	0.036	0.05	0.044	0.05	0.054	0.05	0.05	0.047	0.06	0.048	0.0	0.017	0.031	0.049	0.05	
0.357	0.045	0.043	0.065	0.068	0.031	0.039	0.036	0.046	0.028	0.026	0.066	0.062	0.056	0.047	0.032	0.043	0.026	0.054	0.058	0.05	0.035	0.025	0.051	0.038	0.017	0.0	0.027	0.052	0.04	
0.347	0.041	0.051	0.053	0.081	0.03	0.04	0.039	0.042	0.051	0.029	0.061	0.054	0.055	0.043	0.049	0.058	0.032	0.052	0.056	0.055	0.05	0.045	0.068	0.041	0.031	0.027	0.0	0.062	0.055	
0.366	0.047	0.04	0.063	0.058	0.053	0.029	0.036	0.069	0.043	0.06	0.048	0.054	0.045	0.046	0.037	0.054	0.043	0.043	0.05	0.031	0.039	0.039	0.045	0.038	0.049	0.052	0.062	0.0	0.051	
0.357	0.027	0.054	0.043	0.068	0.049	0.047	0.051	0.011	0.05	0.056	0.039	0.041	0.008	0.033	0.047	0.005	0.041	0.005	0.008	0.046	0.044	0.049	0.034	0.053	0.05	0.04	0.055	0.051	0.0	
