0.0	0.045	0.065	0.055	0.057	0.078	0.046	0.052	0.085	0.041	0.08	0.089	0.05	
0.045	0.0	0.019	0.025	0.019	0.033	0.014	0.032	0.027	0.033	0.045	0.052	0.026	
0.065	0.019	0.0	0.026	0.004	0.03	0.02	0.03	0.033	0.039	0.051	0.06	0.022	
0.055	0.025	0.026	0.0	0.024	0.053	0.021	0.041	0.039	0.044	0.062	0.076	0.028	
0.057	0.019	0.004	0.024	0.0	0.028	0.02	0.045	0.038	0.038	0.051	0.059	0.021	
0.078	0.033	0.03	0.053	0.028	0.0	0.032	0.084	0.064	0.068	0.086	0.081	0.034	
0.046	0.014	0.02	0.021	0.02	0.032	0.0	0.037	0.028	0.037	0.051	0.053	0.026	
0.052	0.032	0.03	0.041	0.045	0.084	0.037	0.0	0.041	0.036	0.082	0.093	0.026	
0.085	0.027	0.033	0.039	0.038	0.064	0.028	0.041	0.0	0.051	0.05	0.03	0.019	
0.041	0.033	0.039	0.044	0.038	0.068	0.037	0.036	0.051	0.0	0.068	0.076	0.036	
0.08	0.045	0.051	0.062	0.051	0.086	0.051	0.082	0.05	0.068	0.0	0.079	0.047	
0.089	0.052	0.06	0.076	0.059	0.081	0.053	0.093	0.03	0.076	0.079	0.0	0.05	
0.05	0.026	0.022	0.028	0.021	0.034	0.026	0.026	0.019	0.036	0.047	0.05	0.0	
