Anoxybacillus thermarum	0.0237106177185538	0.010451895107597997
Anoxybacillus tepidamans	-0.04052004906578857	0.008060822238289363
Anoxybacillus amylolyticus	-0.023563753755650552	0.006955511102017968
Anoxybacillus bogrovensis	0.010672274461182542	-0.045648229642820434
Anoxybacillus calidus	-0.029525951747426164	0.019884431158700054
Anoxybacillus tengchongensis	0.031943740723335064	0.014262333555848382
Anoxybacillus kaynarcensis	0.051663203612237384	-0.006726919121878385
Anoxybacillus kestanbolensis	0.03896320678659413	-0.0023075278970087253
Anoxybacillus flavithermus subsp. yunnanensis	0.02155325781259198	0.020808777709558163
Anoxybacillus ayderensis	0.02236602921919775	0.004928121204730849
Anoxybacillus salavatliensis	0.010811384392508427	0.04659653169383596
Anoxybacillus geothermalis	-0.028235559524714456	0.001373261223695221
Anoxybacillus flavithermus subsp. flavithermus	0.016697233453025127	0.011966561992319266
Anoxybacillus pushchinoensis	0.03341126279770993	0.04013113836455135
Anoxybacillus voinovskiensis	-0.025024683459205676	0.01850824221083993
Anoxybacillus kamchatkensis	0.01508746400184279	0.010362368971473643
Anoxybacillus vitaminiphilus	-0.014136501366972748	0.005982157184163504
Anoxybacillus caldiproteolyticus	-0.03968409364105476	0.004113637696554744
Anoxybacillus rupiensis	-0.03325993412769324	0.00600098513893794
Anoxybacillus eryuanensis	0.03331421627296901	0.016042339776279207
Anoxybacillus gonensis	0.03209509589276805	-0.0015199069516790998
Anoxybacillus contaminans	-0.0037775569004552777	0.02222489218757208
Anoxybacillus mongoliensis	0.022818753873671813	0.01840946552488164
