0.0	0.032	0.068	0.039	0.044	0.057	0.049	0.054	0.073	0.042	
0.032	0.0	0.062	0.042	0.054	0.061	0.028	0.056	0.082	0.047	
0.068	0.062	0.0	0.06	0.068	0.086	0.074	0.072	0.067	0.073	
0.039	0.042	0.06	0.0	0.035	0.057	0.036	0.063	0.077	0.064	
0.044	0.054	0.068	0.035	0.0	0.063	0.056	0.05	0.078	0.065	
0.057	0.061	0.086	0.057	0.063	0.0	0.06	0.053	0.079	0.04	
0.049	0.028	0.074	0.036	0.056	0.06	0.0	0.071	0.069	0.064	
0.054	0.056	0.072	0.063	0.05	0.053	0.071	0.0	0.08	0.036	
0.073	0.082	0.067	0.077	0.078	0.079	0.069	0.08	0.0	0.071	
0.042	0.047	0.073	0.064	0.065	0.04	0.064	0.036	0.071	0.0	
