Dietziaceae	Dietzia psychralcaliphila	-0.044446251242498624	7.897042594202909E-4
Dietziaceae	Dietzia aerolata	-0.003652781980517834	0.007132370223916369
Dietziaceae	Dietzia schimae	-8.595474003435836E-4	0.01369942797216407
Dietziaceae	Dietzia alimentaria	-0.014137007697208008	0.00951349928551568
Dietziaceae	Dietzia maris	-0.0015208631483355707	0.016584397714930393
Dietziaceae	Dietzia kunjamensis	0.003890602944160987	0.055953749713758716
Dietziaceae	Dietzia aurantiaca	-0.0034390625273166883	0.010675887949191134
Dietziaceae	Dietzia cercidiphylli	-0.03598791643586829	-0.01135309554925126
Dietziaceae	Dietzia cinnamea	0.022475644349467135	-0.01004343206391985
Dietziaceae	Dietzia natronolimnaea	-0.025396634256647416	-0.00425677092340378
Dietziaceae	Dietzia timorensis	0.014001936293918904	-0.02121678704691093
Dietziaceae	Dietzia papillomatosis	0.04417454280619626	-0.0037412664478731748
Dietziaceae	Dietzia lutea	-0.0013243603690500482	0.005472224010065811
