0.0	0.066	0.062	0.024	0.05	0.037	0.039	0.06	0.063	0.071	0.05	
0.066	0.0	0.008	0.079	0.046	0.062	0.063	0.007	0.065	0.031	0.048	
0.062	0.008	0.0	0.074	0.043	0.056	0.058	0.004	0.107	0.026	0.044	
0.024	0.079	0.074	0.0	0.064	0.042	0.04	0.075	0.046	0.056	0.058	
0.05	0.046	0.043	0.064	0.0	0.019	0.028	0.042	0.058	0.051	0.001	
0.037	0.062	0.056	0.042	0.019	0.0	0.008	0.055	0.017	0.06	0.02	
0.039	0.063	0.058	0.04	0.028	0.008	0.0	0.057	0.026	0.06	0.028	
0.06	0.007	0.004	0.075	0.042	0.055	0.057	0.0	0.058	0.025	0.042	
0.063	0.065	0.107	0.046	0.058	0.017	0.026	0.058	0.0	0.054	0.019	
0.071	0.031	0.026	0.056	0.051	0.06	0.06	0.025	0.054	0.0	0.048	
0.05	0.048	0.044	0.058	0.001	0.02	0.028	0.042	0.019	0.048	0.0	
